sample_name,cycle,fluorescence,sample_type,primer_set,temperature,mastermix,well,column,row,normalization,experiment,subtitle,plate,plate_title,sample_ID,short_name,plot_cycle,data_class,sample_ID_ton,sample_name_old,short_name_old,temp_num,plate_well,sample_richness,sample_counts,sample_type_richness,sample_type_counts,contaminants,reads_with_contaminants,input,filtered,percentage.of.input.passed.filter,denoised,non.chimeric,percentage.of.input.non.chimeric,fastq_reads,trimmed_reads,filtered_reads,denoised_reads,chimeric_reads,contaminant_table_reads,contaminant_reads,usable_reads,p_fastq_reads,p_trimmed_reads,p_filtered_reads,p_denoised_reads,p_chimeric_reads,p_contaminant_reads,p_contaminant_table_reads,p_usable_reads
doubleton_G4_Feces_FL_350_C2,17,352,Feces,Standard,47°C,QB,C2,2,C,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_C2,doubleton_QB_Standard_targeted fluorescence_Feces_47°C,cycle_17,doubleton,D_G4_2_C2,G4_Feces_FL_350_C2,QB_Standard_targeted fluorescence_Feces_47°C,47C,2C2,2522,78919,3980,1519967,removed,78962,98982,84509,85.38,79344,79074,79.89,99457,475,14473,5165,270,43,155,78919,100,0.48,14.55,5.19,0.27,0.16,0.04,79.35
doubleton_G4_Feces_FL_350_C3,17,381,Feces,Standard,52°C,QB,C3,3,C,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_C3,doubleton_QB_Standard_targeted fluorescence_Feces_52°C,cycle_17,doubleton,D_G4_2_C3,G4_Feces_FL_350_C3,QB_Standard_targeted fluorescence_Feces_52°C,52C,2C3,2466,79914,3980,1519967,removed,79995,101466,86951,85.69,80495,80115,78.96,101551,85,14515,6456,380,81,201,79914,100,0.08,14.29,6.36,0.37,0.2,0.08,78.69
doubleton_G4_Feces_FL_350_C4,17,369,Feces,Standard,57°C,QB,C4,4,C,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_C4,doubleton_QB_Standard_targeted fluorescence_Feces_57°C,cycle_17,doubleton,D_G4_2_C4,G4_Feces_FL_350_C4,QB_Standard_targeted fluorescence_Feces_57°C,57C,2C4,2403,76755,3980,1519967,removed,76820,95297,82120,86.17,77097,76895,80.69,95333,36,13177,5023,202,65,140,76755,100,0.04,13.82,5.27,0.21,0.15,0.07,80.51
doubleton_G4_Feces_FL_350_D2,17,392,Feces,Standard,47°C,QB,D2,2,D,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_D2,doubleton_QB_Standard_targeted fluorescence_Feces_47°C,cycle_17,doubleton,D_G4_2_D2,G4_Feces_FL_350_D2,QB_Standard_targeted fluorescence_Feces_47°C,47C,2D2,2540,81602,3980,1519967,removed,81661,105376,89941,85.35,82173,81773,77.6,105931,555,15435,7768,400,59,171,81602,100,0.52,14.57,7.33,0.38,0.16,0.06,77.03
doubleton_G4_Feces_FL_350_D3,17,393,Feces,Standard,52°C,QB,D3,3,D,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_D3,doubleton_QB_Standard_targeted fluorescence_Feces_52°C,cycle_17,doubleton,D_G4_2_D3,G4_Feces_FL_350_D3,QB_Standard_targeted fluorescence_Feces_52°C,52C,2D3,1958,38730,3980,1519967,removed,38767,47957,41293,86.1,38887,38781,80.87,47996,39,6664,2406,106,37,51,38730,100,0.08,13.88,5.01,0.22,0.11,0.08,80.69
doubleton_G4_Feces_FL_350_D4,17,371,Feces,Standard,57°C,QB,D4,4,D,targeted fluorescence,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_D4,doubleton_QB_Standard_targeted fluorescence_Feces_57°C,cycle_17,doubleton,D_G4_2_D4,G4_Feces_FL_350_D4,QB_Standard_targeted fluorescence_Feces_57°C,57C,2D4,2486,82956,3980,1519967,removed,83037,104630,90029,86.05,83454,83114,79.44,104685,55,14601,6575,340,81,158,82956,100,0.05,13.95,6.28,0.32,0.15,0.08,79.24
doubleton_G4_Feces_FL_350_E2,18,101,NTC,Standard,47°C,QB,E2,2,E,fixed cycles,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_E2,doubleton_QB_Standard_fixed cycles_NTC_47°C,cycle_18,doubleton,D_G4_2_E2,G4_Feces_FL_350_E2,QB_Standard_fixed cycles_NTC_47°C,47C,2E2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_FL_350_E3,18,119,NTC,Standard,52°C,QB,E3,3,E,fixed cycles,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_E3,doubleton_QB_Standard_fixed cycles_NTC_52°C,cycle_18,doubleton,D_G4_2_E3,G4_Feces_FL_350_E3,QB_Standard_fixed cycles_NTC_52°C,52C,2E3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_FL_350_E4,18,116,NTC,Standard,57°C,QB,E4,4,E,fixed cycles,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_E4,doubleton_QB_Standard_fixed cycles_NTC_57°C,cycle_18,doubleton,D_G4_2_E4,G4_Feces_FL_350_E4,QB_Standard_fixed cycles_NTC_57°C,57C,2E4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_FL_350_F2,18,107,NTC,Standard,47°C,QB,F2,2,F,fixed cycles,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_F2,doubleton_QB_Standard_fixed cycles_NTC_47°C,cycle_18,doubleton,D_G4_2_F2,G4_Feces_FL_350_F2,QB_Standard_fixed cycles_NTC_47°C,47C,2F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
doubleton_G4_Feces_FL_350_F3,18,102,NTC,Standard,52°C,QB,F3,3,F,fixed cycles,G4,Feces_FL_350,2,plate_2: 18 cycles Feces 350 TF,G4_2_F3,doubleton_QB_Standard_fixed cycles_NTC_52°C,cycle_18,doubleton,D_G4_2_F3,G4_Feces_FL_350_F3,QB_Standard_fixed cycles_NTC_52°C,52C,2F3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
